wl,n,k
1.185,3.8838,5.6112
1.1875,3.8894,5.6174
1.19,3.8949,5.6236
1.1925,3.9004,5.6298
1.195,3.9059,5.6359
1.1975,3.9115,5.6421
1.2,3.917,5.6483
1.2025,3.9224,5.6544
1.205,3.9279,5.6606
1.2075,3.9334,5.6667
1.21,3.9389,5.6728
1.2125,3.9443,5.6789
1.215,3.9498,5.6851
1.2175,3.9552,5.6912
1.22,3.9606,5.6973
1.2225,3.966,5.7034
1.225,3.9715,5.7094
1.2275,3.9769,5.7155
1.23,3.9822,5.7216
1.2325,3.9876,5.7277
1.235,3.993,5.7337
1.2375,3.9984,5.7398
1.24,4.0037,5.7458
1.2425,4.0091,5.7519
1.245,4.0144,5.7579
1.2475,4.0198,5.7639
1.25,4.0251,5.77
1.2525,4.0304,5.776
1.255,4.0357,5.782
1.2575,4.041,5.788
1.26,4.0463,5.794
1.2625,4.0516,5.8
1.265,4.0569,5.806
1.2675,4.0621,5.8119
1.27,4.0674,5.8179
1.2725,4.0726,5.8239
1.275,4.0779,5.8298
1.2775,4.0831,5.8358
1.28,4.0883,5.8417
1.2825,4.0936,5.8477
1.285,4.0988,5.8536
1.2875,4.104,5.8596
1.29,4.1092,5.8655
1.2925,4.1144,5.8714
1.295,4.1195,5.8773
1.2975,4.1247,5.8832
1.3,4.1299,5.8891
1.3025,4.135,5.895
1.305,4.1402,5.9009
1.3075,4.1453,5.9068
1.31,4.1504,5.9127
1.3125,4.1556,5.9185
1.315,4.1607,5.9244
1.3175,4.1658,5.9303
1.32,4.1709,5.9361
1.3225,4.176,5.942
1.325,4.181,5.9478
1.3275,4.1861,5.9537
1.33,4.1912,5.9595
1.3325,4.1963,5.9653
1.335,4.2013,5.9711
1.3375,4.2064,5.977
1.34,4.2114,5.9828
1.3425,4.2164,5.9886
1.345,4.2214,5.9944
1.3475,4.2265,6.0002
1.35,4.2315,6.006
1.3525,4.2365,6.0118
1.355,4.2415,6.0175
1.3575,4.2465,6.0233
1.36,4.2514,6.0291
1.3625,4.2564,6.0349
1.365,4.2614,6.0406
